Server,CPU,RAM,Network,Date,Time
172.17.0.2,100,20.59,0.06,2024-11-04,06:53:07
172.17.0.3,1.6,20.56,0.06,2024-11-04,06:53:08
172.17.0.8,1.6,20.61,0.06,2024-11-04,06:53:14
172.17.0.7,0.8,20.60,0.06,2024-11-04,06:53:16
172.17.0.6,100,20.61,0.06,2024-11-04,06:53:17
172.17.0.5,100,20.60,0.06,2024-11-04,06:53:19
172.17.0.4,100,20.64,0.06,2024-11-04,06:53:21
172.17.0.2,39.2,20.93,0.06,2024-11-04,06:53:22
172.17.0.3,0.8,21.01,0.06,2024-11-04,06:53:24
172.17.0.8,0.8,21.08,0.06,2024-11-04,06:53:30
172.17.0.7,100,21.08,0.06,2024-11-04,06:53:31
172.17.0.6,100,21.02,0.06,2024-11-04,06:53:33
172.17.0.5,1.6,21.03,0.06,2024-11-04,06:53:36
172.17.0.4,0.8,20.99,0.06,2024-11-04,06:53:38
172.17.0.2,100,20.97,0.06,2024-11-04,06:53:40
172.17.0.3,100,20.98,0.06,2024-11-04,06:53:41
172.17.0.8,3.3,20.99,0.06,2024-11-04,06:53:47
172.17.0.7,0.8,20.99,0.06,2024-11-04,06:53:49
172.17.0.6,100,20.99,0.06,2024-11-04,06:53:50
172.17.0.5,100,20.97,0.06,2024-11-04,06:53:52
172.17.0.4,9.2,20.98,0.06,2024-11-04,06:53:53
172.17.0.2,100,20.96,0.06,2024-11-04,06:53:55
172.17.0.3,100,20.97,0.06,2024-11-04,06:53:57
172.17.0.8,100,20.98,0.06,2024-11-04,06:54:02
172.17.0.7,11.4,21.01,0.06,2024-11-04,06:54:04
172.17.0.6,100,20.99,0.06,2024-11-04,06:54:06
172.17.0.5,100,20.98,0.02,2024-11-04,06:54:09
172.17.0.4,0.8,21.01,0.06,2024-11-04,06:54:11
172.17.0.2,100,21.06,0.06,2024-11-04,06:54:12
172.17.0.3,100,21.04,0.06,2024-11-04,06:54:14
172.17.0.8,100,21.06,0.06,2024-11-04,06:54:20
172.17.0.7,1.6,21.08,0.06,2024-11-04,06:54:21
172.17.0.6,0.8,21.11,0.06,2024-11-04,06:54:23
172.17.0.5,100,21.11,0.06,2024-11-04,06:54:25
172.17.0.4,0.8,21.12,0.06,2024-11-04,06:54:26
172.17.0.2,100,21.07,0.06,2024-11-04,06:54:28
172.17.0.3,16.1,21.11,0.06,2024-11-04,06:54:30
172.17.0.8,5.6,21.09,0.06,2024-11-04,06:54:35
172.17.0.7,1.7,21.11,0.06,2024-11-04,06:54:37
172.17.0.6,5,21.13,0.06,2024-11-04,06:54:39
172.17.0.5,11.3,21.12,0.06,2024-11-04,06:54:40
172.17.0.4,0.8,21.09,0.02,2024-11-04,06:54:44
172.17.0.2,100,21.12,0.06,2024-11-04,06:54:46
172.17.0.3,100,21.12,0.06,2024-11-04,06:54:47
172.17.0.8,7.3,21.20,0.06,2024-11-04,06:54:53
172.17.0.7,1.6,21.20,0.06,2024-11-04,06:54:55
172.17.0.6,7.6,21.22,0.06,2024-11-04,06:54:56
172.17.0.5,100,21.20,0.06,2024-11-04,06:54:58
172.17.0.4,100,21.18,0.06,2024-11-04,06:55:00
172.17.0.2,0.8,21.18,0.06,2024-11-04,06:55:01
172.17.0.3,100,21.16,0.06,2024-11-04,06:55:03
172.17.0.8,3.3,21.21,0.06,2024-11-04,06:55:08
172.17.0.7,100,21.22,0.06,2024-11-04,06:55:10
172.17.0.6,9.9,21.17,0.06,2024-11-04,06:55:12
172.17.0.5,100,21.17,0.06,2024-11-04,06:55:14
172.17.0.4,100,21.15,0.06,2024-11-04,06:55:15
172.17.0.2,1.6,21.16,0.06,2024-11-04,06:55:19
172.17.0.3,100,21.16,0.06,2024-11-04,06:55:20
172.17.0.8,100,21.17,0.06,2024-11-04,06:55:26
172.17.0.7,0.8,21.13,0.06,2024-11-04,06:55:28
172.17.0.6,100,21.15,0.06,2024-11-04,06:55:29
172.17.0.5,100,21.18,0.06,2024-11-04,06:55:31
172.17.0.4,100,21.20,0.06,2024-11-04,06:55:33
172.17.0.2,5.7,21.18,0.06,2024-11-04,06:55:34
172.17.0.3,100,21.17,0.06,2024-11-04,06:55:36
172.17.0.8,1.6,21.20,0.06,2024-11-04,06:55:42
172.17.0.7,0.8,21.20,0.06,2024-11-04,06:55:43
172.17.0.6,100,21.20,0.06,2024-11-04,06:55:45
172.17.0.5,100,21.18,0.06,2024-11-04,06:55:47
172.17.0.4,2.5,21.20,0.06,2024-11-04,06:55:48
172.17.0.2,100,21.23,0.02,2024-11-04,06:55:52
172.17.0.3,1.6,21.21,0.06,2024-11-04,06:55:54
172.17.0.8,16.9,21.20,0.06,2024-11-04,06:55:59
172.17.0.7,0.8,21.18,0.06,2024-11-04,06:56:01
172.17.0.6,100,21.18,0.06,2024-11-04,06:56:03
172.17.0.5,8.1,21.20,0.06,2024-11-04,06:56:04
172.17.0.4,100,21.20,0.06,2024-11-04,06:56:06
172.17.0.2,100,21.18,0.06,2024-11-04,06:56:08
172.17.0.3,100,21.17,0.06,2024-11-04,06:56:09
172.17.0.8,9.7,21.21,0.06,2024-11-04,06:56:15
172.17.0.7,0.8,21.17,0.06,2024-11-04,06:56:17
172.17.0.6,100,21.20,0.06,2024-11-04,06:56:18
172.17.0.5,100,21.22,0.06,2024-11-04,06:56:20
172.17.0.4,0.8,21.30,0.06,2024-11-04,06:56:22
172.17.0.2,0.8,21.22,0.06,2024-11-04,06:56:23
172.17.0.3,100,21.21,0.06,2024-11-04,06:56:27
172.17.0.8,12.8,21.18,0.06,2024-11-04,06:56:33
172.17.0.7,3.3,21.20,0.06,2024-11-04,06:56:34
172.17.0.6,1.6,21.21,0.06,2024-11-04,06:56:36
172.17.0.5,100,21.18,0.06,2024-11-04,06:56:38
172.17.0.4,2.5,21.21,0.06,2024-11-04,06:56:39
172.17.0.2,100,21.23,0.13,2024-11-04,06:56:41
172.17.0.3,0.8,21.30,0.06,2024-11-04,06:56:43
172.17.0.8,100,21.25,0.06,2024-11-04,06:56:48
172.17.0.7,0.8,21.27,0.06,2024-11-04,06:56:50
